row,age,fnlwgt,educational-num,capital-gain,capital-loss,hours-per-week,workclass,marital-status,race,Male,native-country,>50K
0,25,226802,7,0,0,40,0,0,0,1,1,0
1,38,89814,9,0,0,50,0,1,1,1,1,0
2,28,336951,12,0,0,40,1,1,1,1,1,1
3,44,160323,10,7688,0,40,0,1,0,1,1,1
5,34,198693,6,0,0,30,0,0,1,1,1,0
7,63,104626,15,3103,0,32,0,1,1,1,1,1
8,24,369667,10,0,0,40,0,0,1,0,1,0
9,55,104996,4,0,0,10,0,1,1,1,1,0
10,65,184454,9,6418,0,40,0,1,1,1,1,1
11,36,212465,13,0,0,40,1,1,1,1,1,0
12,26,82091,9,0,0,39,0,0,1,0,1,0
14,48,279724,9,3103,0,48,0,1,1,1,1,1
15,43,346189,14,0,0,50,0,1,1,1,1,1
16,20,444554,10,0,0,25,1,0,1,1,1,0
17,43,128354,9,0,0,30,0,1,1,0,1,0
18,37,60548,9,0,0,20,0,0,1,0,1,0
20,34,107914,13,0,0,47,0,1,1,1,1,1
21,34,238588,10,0,0,35,0,0,0,0,1,0
23,25,220931,13,0,0,43,0,0,1,1,0,0
24,25,205947,13,0,0,40,0,1,1,1,1,0
25,45,432824,9,7298,0,90,0,1,1,1,1,1
26,22,236427,9,0,0,20,0,0,1,1,1,0
27,23,134446,9,0,0,54,0,0,0,1,1,0
28,54,99516,9,0,0,35,0,1,1,1,1,0
29,32,109282,10,0,0,60,0,0,1,1,1,0
30,46,106444,10,7688,0,38,1,1,0,1,1,1
31,56,186651,7,0,0,50,0,0,1,0,1,0
32,24,188274,13,0,0,50,0,0,1,1,1,0
33,23,258120,10,0,0,40,1,1,1,1,1,0
34,26,43311,9,0,0,40,0,0,1,0,1,0
36,36,403681,13,0,0,40,1,1,1,1,1,1
37,22,248446,3,0,0,50,0,0,1,1,0,0
38,17,269430,6,0,0,40,0,0,1,1,1,0
39,20,257509,9,0,0,40,0,0,1,1,1,0
40,65,136384,14,0,0,50,0,1,1,1,1,1
41,44,120277,11,0,0,45,0,1,1,1,1,1
42,36,465326,9,0,0,40,0,1,1,1,1,0
43,29,103634,7,0,0,40,0,1,1,1,1,0
44,20,138371,10,0,0,32,1,0,1,1,1,0
45,28,242832,11,0,0,36,0,1,1,0,1,1
46,39,290208,4,0,0,40,0,1,1,1,0,0
47,54,186272,10,3908,0,50,0,1,1,1,1,0
48,52,201062,7,0,0,18,0,0,0,0,1,0
49,56,131916,9,0,0,50,0,0,1,0,1,0
50,18,54440,10,0,0,20,0,0,1,1,1,0
51,39,280215,9,0,0,40,0,0,0,1,1,0
52,21,214399,10,0,1721,24,0,0,1,0,1,0
53,22,54164,9,14084,0,60,0,0,1,1,1,1
54,38,219446,5,0,0,54,0,1,1,1,0,0
55,21,110677,10,0,0,40,0,0,1,0,1,0
56,63,145985,9,0,0,40,0,1,1,1,1,0
57,34,382078,13,3103,0,50,1,1,1,1,1,1
58,42,170721,9,5178,0,50,0,1,1,1,1,1
59,33,269705,9,0,0,40,0,1,1,1,1,0
60,30,101135,13,0,0,50,0,0,1,0,1,0
61,39,118429,10,0,0,40,0,0,1,1,1,0
62,26,31208,14,0,0,40,0,0,1,0,1,0
63,33,281384,9,0,0,40,0,0,1,0,1,0
64,47,171807,9,0,0,40,1,0,1,0,1,0
66,41,445382,12,15024,0,60,0,1,1,1,1,1
67,19,105460,10,0,0,20,0,0,1,1,1,0
68,46,170338,9,0,0,40,0,0,1,1,1,0
69,43,102606,9,0,0,48,0,1,1,1,1,0
70,55,323887,10,15024,0,45,0,1,1,1,1,1
71,46,175622,11,0,0,40,0,1,1,1,1,0
72,30,229636,9,0,0,40,0,1,1,1,0,0
73,21,388946,10,0,0,40,0,0,1,0,1,0
74,46,269034,10,0,0,40,0,1,0,1,0,0
76,41,75012,9,0,0,50,0,1,1,1,1,0
77,69,174379,9,0,0,30,0,1,1,1,1,0
78,50,312477,9,0,0,40,0,1,1,1,1,0
79,20,72055,10,0,0,40,0,0,1,0,1,0
80,45,67001,10,0,0,50,0,1,1,1,1,0
81,23,213734,13,0,0,40,0,0,1,1,1,0
82,24,83141,10,0,1876,40,0,0,1,1,1,0
84,31,113752,10,0,0,50,0,1,1,1,1,0
85,43,170482,9,0,0,44,0,0,1,0,1,0
86,20,244689,7,0,0,10,1,0,1,0,1,0
87,55,160631,9,0,0,56,0,1,1,1,1,1
88,24,228724,10,0,0,40,1,0,1,1,1,0
90,59,292946,13,0,0,25,0,0,1,0,1,0
91,49,77443,4,0,0,20,1,0,0,1,1,0
92,33,176410,14,5178,0,10,0,1,1,0,1,1
93,59,98984,13,0,0,40,1,0,1,1,1,0
94,34,198751,14,0,0,40,0,0,0,1,1,0
95,20,479296,9,0,0,40,0,0,1,1,1,0
96,25,235218,13,0,0,40,0,0,1,0,1,0
97,49,164877,6,0,0,40,0,1,1,1,1,0
98,59,272087,9,0,0,40,0,1,1,1,1,1
99,20,169699,9,0,0,40,0,0,1,0,1,0
101,33,202191,10,0,0,35,0,0,0,0,1,0
102,22,212261,10,0,0,39,0,0,0,1,1,0
103,58,301568,5,0,0,40,0,0,1,0,1,0
104,52,155233,9,0,0,28,1,0,1,0,1,0
105,36,75826,6,0,0,40,0,0,1,0,1,0
106,41,201520,9,0,0,40,1,1,1,1,1,0
107,28,154236,9,2597,0,40,0,0,1,1,1,0
108,19,289227,10,0,0,16,0,0,0,1,1,0
109,18,217439,9,0,0,28,0,0,1,0,1,0
110,18,179020,9,0,0,48,0,0,1,0,1,0
111,28,149624,10,0,0,40,0,1,1,1,1,0
112,29,337266,11,0,0,40,0,1,1,1,1,1
114,40,103541,10,0,0,40,0,1,1,1,1,0
115,26,206721,9,0,0,40,0,0,1,1,1,0
116,46,96773,9,0,0,40,0,1,1,1,1,0
117,23,200967,7,0,0,24,0,0,1,0,1,0
118,44,180019,9,0,0,40,0,1,1,0,1,0
119,43,179866,13,0,0,40,0,0,1,0,1,1
120,31,198770,13,0,0,60,1,0,1,0,1,0
121,18,219256,10,0,0,25,0,0,1,0,1,0
122,19,248730,10,0,0,30,0,0,1,1,1,0
123,41,110732,10,0,0,40,0,0,1,0,1,0
124,41,181020,9,0,0,40,0,0,1,0,1,0
125,69,183791,9,0,0,25,0,0,1,0,1,0
126,48,42972,16,0,0,40,1,1,1,0,1,1
127,28,134813,9,0,0,40,0,0,1,1,1,0
128,27,115438,9,0,0,60,0,1,1,1,0,1
129,41,239296,14,0,2415,50,0,1,1,1,1,1
130,41,428420,10,0,0,40,0,1,1,1,1,0
131,24,247846,9,0,0,40,0,0,0,0,1,0
133,42,100793,16,0,0,41,0,1,1,1,1,1
134,57,244478,9,0,0,48,0,1,0,1,1,0
135,30,142921,12,0,0,40,0,0,1,0,1,0
136,36,182863,9,0,0,60,0,1,1,1,1,1
137,49,171128,4,0,0,40,0,1,0,1,1,0
138,33,145402,9,0,0,35,0,1,1,0,1,0
139,23,306309,6,0,0,40,0,1,1,1,1,0
140,46,83822,14,0,0,40,0,1,1,1,1,0
141,18,262118,10,0,0,22,0,0,0,0,0,0
142,40,155972,9,7688,0,55,0,1,1,1,1,1
143,43,214503,9,0,1887,45,0,1,1,1,1,1
144,34,159303,14,0,0,30,0,0,1,0,1,0
145,47,174995,9,0,0,30,0,0,1,0,1,0
146,44,26669,11,0,0,30,0,0,1,0,1,0
147,33,177727,9,0,0,40,0,1,1,1,1,1
148,55,124771,13,15024,0,50,0,1,1,1,1,1
149,19,456736,9,2907,0,30,0,0,1,1,1,0
150,28,216604,10,0,0,14,0,0,0,1,1,0
151,27,221561,7,0,0,32,0,1,0,0,1,0
152,50,114564,4,0,0,20,0,1,1,1,1,0
153,22,315476,7,0,0,40,0,0,1,1,1,0
154,40,67874,13,0,1887,45,1,1,1,1,1,1
155,25,126110,10,0,0,40,0,0,1,0,1,0
156,26,102264,9,0,0,40,1,0,1,1,1,0
157,22,537222,13,0,0,25,0,0,1,1,1,0
158,42,113732,10,0,625,40,0,0,0,0,1,0
159,38,93225,13,0,0,40,0,0,1,1,1,0
160,55,43064,7,0,0,30,0,1,1,1,1,0
161,32,136921,9,0,0,40,0,1,1,1,1,0
162,22,388885,9,0,0,45,0,1,1,1,1,0
163,29,142249,13,0,0,40,0,0,1,1,1,0
164,46,56841,14,0,0,45,1,1,1,1,1,1
165,31,156493,10,0,0,40,0,1,1,1,1,1
166,58,159021,16,0,0,16,0,1,1,1,1,1
167,42,190910,9,0,0,45,0,1,1,1,1,0
168,18,41879,9,0,0,25,0,0,1,1,1,0
169,58,137249,9,0,0,33,1,0,1,1,1,0
170,54,236157,9,0,1887,40,0,1,1,1,1,1
171,34,189759,14,0,0,40,0,0,1,1,1,0
172,26,239877,13,0,0,40,0,0,1,0,1,0
173,61,21175,8,0,0,60,0,1,1,1,1,0
174,48,67229,14,0,0,40,1,0,0,0,1,0
175,36,236391,10,0,0,45,0,1,1,1,1,1
176,24,325596,11,0,0,45,0,1,1,1,1,0
177,40,83411,10,0,0,37,0,1,1,1,1,0
178,33,154227,9,0,0,50,0,1,1,1,1,1
179,37,248010,10,0,1887,40,0,1,1,1,1,1
180,34,198613,14,4650,0,40,0,0,1,1,1,0
181,56,321529,10,15024,0,40,0,1,1,1,1,1
183,37,203079,13,0,0,55,0,0,1,0,1,0
184,44,284652,9,0,0,40,0,0,0,0,1,0
186,54,59840,9,0,0,45,0,0,1,1,1,0
187,23,52753,9,0,0,50,0,0,1,1,1,0
189,22,199266,9,0,0,45,0,0,1,0,1,0
190,33,196385,13,0,1977,40,0,1,1,1,1,1
191,39,163205,13,0,0,50,0,0,1,1,1,1
192,47,411047,10,0,0,37,0,0,0,0,1,0
194,26,209440,9,0,0,55,0,0,0,0,1,0
195,31,56964,10,0,0,40,0,0,1,0,1,0
196,44,299197,10,0,0,45,0,0,1,1,1,0
197,42,240628,15,0,0,50,0,1,1,0,1,1
198,19,355313,9,0,0,40,0,0,1,0,1,0
199,27,132267,9,0,0,40,0,1,1,1,1,1
200,51,174861,10,0,0,40,1,1,1,1,1,1
201,28,142443,13,0,0,50,0,1,1,1,1,0
202,57,26716,13,0,0,45,0,0,1,1,1,0
203,45,185588,13,0,0,40,1,0,1,0,1,0
204,50,175029,11,0,0,40,0,1,1,1,1,1
205,34,34848,13,0,0,54,0,1,1,1,1,0
206,45,411273,4,0,0,40,0,1,0,1,1,0
207,73,143437,9,0,0,20,1,1,1,1,1,0
208,34,357145,13,0,0,50,0,1,1,0,1,1
209,31,236861,10,0,0,55,0,1,1,1,1,1
210,19,53355,7,0,0,12,0,0,1,1,1,0
211,25,29106,10,0,0,50,0,0,1,0,1,0
212,38,213274,11,6497,0,40,1,0,1,0,1,0
213,39,22463,13,0,0,40,0,1,1,1,1,0
214,23,180497,13,0,0,32,0,0,0,0,1,0
215,49,37306,9,0,0,40,0,1,1,1,1,0
216,33,137814,9,0,0,32,1,0,1,1,1,0
217,21,447488,3,0,0,38,0,0,1,1,0,0
218,31,220915,11,0,0,40,0,0,1,1,1,0
219,23,42251,13,0,0,45,0,0,1,0,1,0
220,34,162312,13,0,0,40,0,1,0,1,0,0
221,25,77698,9,0,0,40,0,0,0,0,0,0
222,39,282951,9,0,0,40,0,0,1,1,1,0
223,52,311259,9,0,0,40,0,1,1,1,1,1
224,63,65479,5,7688,0,40,1,1,1,1,1,1
225,41,277256,10,0,0,40,0,1,1,1,1,0
226,46,312088,13,15024,0,38,0,1,1,1,1,1
227,53,169719,9,0,0,40,1,1,1,1,1,0
230,18,96869,8,0,0,40,0,0,1,1,1,0
231,38,237943,15,0,0,50,0,1,1,1,1,0
232,55,119751,14,0,0,50,0,0,0,0,0,0
233,34,236861,9,0,0,40,0,1,1,1,1,1
234,80,201092,9,0,0,30,0,1,1,1,1,0
235,34,147215,11,0,0,60,0,0,1,0,1,0
236,52,152373,10,5013,0,40,0,1,1,1,1,0
237,42,227968,9,0,0,28,0,0,0,0,0,0
238,26,362617,10,0,0,40,0,0,1,0,1,0
239,31,103435,9,0,0,40,0,1,1,1,1,0
240,25,281412,9,0,0,35,1,0,1,0,1,0
241,55,105239,9,0,2057,60,0,1,1,1,1,0
242,19,230165,10,0,0,12,0,0,1,0,1,0
243,62,177493,10,0,0,32,0,1,1,1,1,0
244,22,104443,10,0,0,20,1,0,1,0,1,0
246,35,143385,9,0,0,40,0,1,1,1,1,0
247,28,107189,9,0,0,40,0,1,1,0,1,0
248,47,212944,9,0,0,70,0,1,1,1,1,1
249,44,138634,9,0,0,40,1,1,1,1,1,0
250,21,99970,10,0,0,15,0,0,1,1,1,0
251,35,203717,11,0,0,50,0,0,1,1,1,0
252,24,313956,13,0,0,40,0,1,1,1,1,1
254,28,193868,13,0,0,50,0,0,1,1,1,0
255,21,250939,10,0,0,35,0,0,1,1,1,0
256,62,57629,10,4650,0,40,1,0,0,1,1,0
257,39,281768,9,0,0,40,0,0,0,0,1,0
258,30,260782,9,0,0,40,1,0,1,1,1,0
259,72,243769,15,0,1429,20,0,0,1,1,1,0
260,50,109937,10,0,0,50,0,1,1,0,1,0
261,28,134890,14,0,0,40,1,0,1,1,1,0
262,29,100293,10,0,0,40,0,0,1,0,1,0
263,26,132179,13,0,0,40,0,0,1,0,1,0
264,27,116372,14,0,0,40,0,0,1,0,1,0
265,29,255412,10,3103,0,40,0,1,1,1,1,1
267,29,342400,6,0,0,25,0,1,1,1,1,0
269,31,169085,7,0,0,20,0,1,1,0,1,0
270,25,177221,9,0,0,75,0,1,1,1,1,0
271,58,65325,6,0,0,40,0,1,1,1,1,1
272,64,118944,10,0,0,40,0,1,1,0,1,1
273,46,149337,14,0,0,38,1,0,1,1,1,0
275,19,106183,9,0,0,35,0,0,0,0,1,0
276,42,226388,9,0,0,52,0,0,0,1,1,0
277,18,220754,7,0,0,24,0,0,1,1,1,0
278,58,204021,13,15024,0,50,0,1,1,1,1,1
279,20,347391,10,0,0,60,0,0,0,1,1,0
280,35,413930,9,0,0,40,1,1,1,1,1,1
281,32,174201,9,0,0,38,0,1,1,1,1,1
282,23,145917,9,0,0,25,0,0,1,0,1,0
283,31,241797,10,0,0,40,0,0,1,0,1,0
284,33,265168,13,0,0,55,0,1,0,1,1,0
285,41,171234,10,0,0,48,0,0,1,0,1,0
286,22,178452,9,0,0,40,0,0,0,1,1,0
287,46,157857,10,0,0,40,0,1,1,1,1,1
288,61,512864,10,0,0,40,1,1,0,1,1,0
289,30,296462,9,0,0,40,0,0,0,1,1,0
290,42,171615,9,0,0,55,0,1,1,1,1,1
291,63,214071,6,0,0,40,0,1,1,1,1,0
292,26,172421,10,0,0,40,0,1,1,1,1,0
293,42,195488,6,0,0,40,0,0,1,0,1,0
294,23,316841,10,0,0,40,0,1,1,1,1,0
295,25,236267,9,0,1590,40,0,0,1,1,1,0
296,30,236543,5,0,0,32,0,1,1,1,0,1
297,23,318483,9,0,0,40,0,0,1,1,1,0
298,34,163756,11,27828,0,60,0,0,1,1,1,1
299,30,238186,9,0,2057,48,0,1,1,1,1,0
300,39,329980,10,0,0,40,0,1,1,1,1,1
301,30,169269,7,0,1721,38,0,0,1,1,0,0
302,38,34744,10,0,0,38,1,0,1,0,1,0
303,26,98114,9,0,0,40,0,0,1,0,1,0
304,20,109667,10,0,0,16,0,0,1,1,1,0
306,33,147430,9,0,0,40,0,1,1,0,1,0
307,24,224238,13,0,0,40,0,0,1,1,1,0
308,42,212894,13,0,0,60,0,1,1,1,1,1
309,51,136708,9,3103,0,84,0,1,0,1,0,0
310,56,38573,12,0,0,45,1,1,1,1,1,1
311,22,197200,10,0,0,40,0,0,1,1,1,0
312,52,182796,10,0,0,60,0,1,1,1,1,0
313,44,184527,13,4934,0,45,0,0,1,0,1,1
314,34,145231,9,4064,0,35,0,1,1,0,1,0
315,51,43354,10,0,0,42,0,0,1,1,1,1
317,19,355712,10,0,0,25,0,0,1,0,1,0
318,37,98776,13,0,0,40,0,1,1,1,1,1
319,68,257557,9,0,0,40,0,1,0,1,1,1
320,22,102258,10,0,0,40,0,0,1,1,1,0
321,56,170287,13,0,0,40,0,1,1,1,1,0
322,37,243409,9,0,0,40,0,1,1,1,1,0
323,52,55608,2,0,0,40,0,1,1,1,0,0
324,26,248057,9,0,0,40,0,0,1,1,0,0
325,33,95530,14,0,0,50,0,1,1,1,1,0
326,45,54038,14,0,0,42,1,0,1,0,1,0
327,18,161245,7,0,0,15,0,0,1,1,1,0
328,43,388725,10,0,0,60,0,1,1,1,1,1
330,18,228216,9,0,0,20,0,0,1,1,1,0
332,57,78020,9,0,0,40,0,1,1,1,1,1
333,41,249254,9,3674,0,42,0,0,1,0,1,0
334,34,87218,14,0,1887,50,0,1,1,1,1,1
335,19,304299,9,0,0,40,0,0,1,0,1,0
336,44,196234,5,0,0,55,0,0,1,0,0,0
337,56,197875,6,0,0,40,0,0,1,0,1,0
338,36,48063,9,0,0,80,0,1,1,1,1,0
339,48,253596,13,0,0,48,0,0,1,0,1,0
340,29,39257,9,0,0,40,0,1,1,1,1,1
341,33,56150,13,2174,0,40,0,0,1,1,1,0
342,31,179415,3,0,0,40,0,1,1,1,0,0
343,39,252445,14,0,0,45,0,1,1,1,1,1
344,66,275918,9,10605,0,40,0,1,1,1,1,1
345,27,106562,13,0,0,50,0,0,1,0,1,1
346,39,198654,9,99999,0,40,0,0,0,0,1,1
347,59,107318,4,5178,0,50,0,1,1,1,1,1
348,26,181896,9,0,0,40,0,0,1,0,1,0
349,31,106014,11,0,0,40,0,0,1,1,1,0
351,23,197997,9,0,0,30,0,0,1,1,1,0
352,36,173542,9,0,0,40,1,0,1,0,1,0
353,34,207564,10,0,0,12,0,1,1,0,1,1
354,32,224462,9,0,0,84,0,1,1,1,1,1
355,37,123361,13,0,0,50,0,1,0,1,1,1
356,33,90409,13,0,0,45,0,0,1,1,1,0
357,50,165001,15,99999,0,80,0,1,1,1,1,1
358,32,149573,12,0,0,40,1,0,0,1,1,0
359,35,249456,13,0,0,40,0,0,0,0,1,0
360,37,149898,7,0,0,40,0,1,1,1,1,0
361,44,292985,10,0,0,60,0,0,1,1,1,0
362,57,50223,10,0,0,25,0,0,1,1,1,0
363,29,400074,10,0,0,40,1,1,1,0,1,0
364,55,197399,9,0,0,50,0,1,1,1,1,1
365,43,209547,15,0,0,25,0,1,1,1,1,1
366,43,52433,10,0,0,70,0,1,1,1,1,0
367,45,355978,10,0,0,60,0,1,1,1,1,1
368,33,48214,14,0,0,8,0,1,1,0,1,0
369,26,190873,6,0,0,40,0,0,1,0,0,0
370,23,278390,10,0,0,68,0,1,1,1,1,0
371,41,203217,4,0,0,40,0,0,1,1,0,0
372,24,279175,9,0,0,40,0,1,1,1,1,0
373,47,194590,13,0,0,44,0,1,1,1,1,0
